"id","name","type","createdAt","updatedAt","parentId","ratio"
1,mg,w,2021-04-02 15:49:16.842 +0700,2021-04-02 15:49:16.842 +0700,,"1"
3,ml,v,2021-04-02 15:49:33.373 +0700,2021-04-02 15:49:33.373 +0700,,"1"
5,iu,"",2021-04-02 15:50:15.804 +0700,2021-04-02 15:50:15.804 +0700,,"1"
10,%,"",2021-04-02 15:54:11.063 +0700,2021-04-02 15:54:11.063 +0700,,"1"
13,mci,"",2021-04-05 17:25:02.012 +0700,2021-04-05 17:25:02.012 +0700,,"1"
16,usp,"",2021-07-12 11:34:41.757 +0700,2021-07-12 11:34:41.757 +0700,,"1"
2,mcg,w,2021-04-02 15:49:27.086 +0700,2021-04-02 15:49:27.086 +0700,1,"0.001"
4,g,w,2021-04-02 15:49:43.342 +0700,2021-04-02 15:49:43.342 +0700,1,"1000"
15,l,v,2021-04-19 10:31:17.555 +0700,2021-04-19 10:31:17.555 +0700,3,"1000"
17,miu,"",2021-11-23 15:29:40.048 +0700,2021-11-23 15:29:40.048 +0700,5,"1000000"
22,mol,"",2021-11-30 11:05:01.877 +0700,2021-11-30 11:05:01.877 +0700,,"1"
20,mmol,"",2021-11-23 15:30:18.917 +0700,2021-11-23 15:30:18.917 +0700,22,"0.001"
21,ui,"",2021-11-24 14:50:44.437 +0700,2021-11-24 14:50:44.437 +0700,5,"1"
23,kg,w,2021-12-06 13:52:25.221 +0700,2021-12-06 13:52:25.221 +0700,1,"1000"
24,Âµg,w,2021-12-06 14:15:27.446 +0700,2021-12-06 14:15:27.446 +0700,1,"0.001"
